id,ref,cluster,gist
g1,Genesis 14:20,anchor,Abram gives a tenth of everything to Melchizedek after the rescue of Lot.
g2,Genesis 28:22,anchor,Jacob vows a tenth at the place he names Bethel.
l1,Leviticus 27:30,anchor,The tenth of seed and fruit belongs to God and is holy.
n1,Numbers 18:21,anchor,"Every tithe assigned to the Levites as wages, because they hold no land."
n2,Numbers 18:26,anchor,The Levites owe a tenth of the tenth they receive.
d1,Deuteronomy 14:29,anchor,"Third-year tithe stored for the Levite, the alien, the orphan and the widow."
e1,Exodus 30:13,anchor,"A half-shekel census payment, the same from rich and poor alike."
m1,Malachi 3:8,anchor,Withholding tithes and offerings named as robbing God.
a1,Amos 4:4,anchor,"Israel summoned to Bethel to transgress, tithes listed among the offerings."
s1,1 Samuel 8:15,anchor,The king will take a tenth of grain and vineyards for his officers and courtiers.
t1,Matthew 17:24,bridge,Collectors of the temple tax ask Peter whether his teacher pays it.
t2,Matthew 17:25,bridge,"Jesus asks from whom kings take toll or tribute — their children, or others."
t3,Matthew 17:26,bridge,"Peter answers 'from others', and Jesus concludes the children are free."
t4,Matthew 17:27,bridge,"He pays anyway, from a coin found in a fish, so as not to give offense."
i1,Luke 2:1,imperial,Augustus decrees that all the world be registered.
i2,Luke 2:3,imperial,Everyone travels to their own town to be registered.
i3,Luke 3:1,imperial,The narrative dated by the reign of Tiberius and his governors.
i4,Acts 5:37,imperial,"Judas the Galilean raises a following at the time of the census, and perishes."
i5,Matthew 22:17,imperial,Is it lawful to pay taxes to the emperor?
i6,Matthew 22:19,imperial,The coin used for the tax is produced — a denarius.
i7,Matthew 22:21,imperial,"Give the emperor what is the emperor's, and God what is God's."
i8,Mark 12:14,imperial,"Mark's form of the question, prefaced with flattery."
i9,Mark 12:16,imperial,Whose head and title does the coin bear.
i10,Mark 12:17,imperial,Mark's form of the ruling.
i11,Luke 20:22,imperial,Luke's form of the question.
i12,Luke 20:24,imperial,Luke's form of the coin inspection.
i13,Luke 20:25,imperial,Luke's form of the ruling.
i14,Luke 23:2,imperial,"At trial, Jesus is accused of forbidding payment of taxes to the emperor."
i15,John 19:12,imperial,Pilate pressed with the claim that releasing Jesus is disloyalty to Caesar.
i16,Romans 13:6,imperial,Taxes are paid because the authorities are described as God's servants.
i17,Romans 13:7,imperial,"Pay what is due: taxes, revenue, respect, honor."
i18,1 Peter 2:13,imperial,"Accept the authority of human institutions, the emperor included."
i19,1 Peter 2:17,imperial,"Fear God; honor the emperor — two verbs, deliberately unequal."
i20,Acts 25:10,imperial,Paul appeals to the emperor's tribunal as his right.
i21,Acts 17:7,imperial,Believers accused of acting against the emperor's decrees.
c1,Matthew 9:9,collector,Matthew called away from the tax booth.
c2,Matthew 9:10,collector,Jesus at table with tax collectors and sinners.
c3,Matthew 9:11,collector,The Pharisees object to the company he keeps.
c4,Matthew 10:3,collector,"Matthew listed among the twelve, identified by his former trade."
c5,Matthew 11:19,collector,Called a glutton and a friend of tax collectors.
c6,Matthew 18:17,collector,The unrepentant member treated as a Gentile and a tax collector.
c7,Matthew 21:31,collector,Tax collectors enter the kingdom ahead of the religious leadership.
c8,Mark 2:14,collector,Levi called from the tax booth.
c9,Mark 2:16,collector,Scribes of the Pharisees challenge the shared meal.
c10,Luke 3:12,collector,Tax collectors come to John for baptism and ask what to do.
c11,Luke 3:13,collector,They are told to collect no more than the amount prescribed.
c12,Luke 5:27,collector,Luke's account of Levi at the tax booth.
c13,Luke 15:1,collector,Tax collectors and sinners gather to listen.
c14,Luke 18:10,collector,A Pharisee and a tax collector go up to pray.
c15,Luke 18:13,collector,"The collector will not look up, and asks for mercy."
c16,Luke 19:2,collector,"Zacchaeus, a chief tax collector, and rich."
c17,Luke 19:8,collector,He gives half his possessions away and restores fourfold what he took.
k1,Matthew 23:23,critique,"Woe for tithing garden herbs while neglecting justice, mercy and faith — the weightier matters, to be done without leaving the lighter undone."
k2,Luke 11:42,critique,"Woe for tithing mint, rue and every garden herb while neglecting justice and God's love — these to be done without leaving the others undone."
k3,Luke 18:12,critique,The Pharisee's boast: fasting twice a week and giving a tenth of all income.
h1,Hebrews 7:2,hebrews,Abraham apportioned a tenth of everything to Melchizedek.
h2,Hebrews 7:4,hebrews,Even the patriarch gave him a tenth of the spoils.
h3,Hebrews 7:5,hebrews,Levi's priestly descendants are commanded by law to collect tithes.
h4,Hebrews 7:6,hebrews,Melchizedek collected tithes without belonging to that lineage.
h5,Hebrews 7:8,hebrews,"In one case mortals receive tithes; in the other, one testified to be living."
h6,Hebrews 7:9,hebrews,"Levi, who receives tithes, paid tithes through Abraham."
h7,Hebrews 7:11,hebrews,Perfection was not reached through the Levitical priesthood.
h8,Hebrews 7:12,hebrews,A change of priesthood requires a change of law as well.
v1,Mark 12:41,giving,He sits opposite the treasury and watches the crowd give.
v2,Mark 12:42,giving,A poor widow puts in two small copper coins.
v3,Mark 12:43,giving,She has put in more than all the others.
v4,Mark 12:44,giving,They gave out of abundance; she gave everything she had to live on.
v5,Luke 21:1,giving,Luke's account of the rich giving at the treasury.
v6,Luke 21:4,giving,Luke's form of the verdict on the widow.
v7,Matthew 6:2,giving,Give alms without sounding a trumpet.
v8,Matthew 6:4,giving,"Alms done in secret, seen by God."
v9,Luke 11:41,giving,"Give alms from what is within, and everything is clean."
v10,Luke 12:33,giving,"Sell possessions and give alms, for a treasure that does not fail."
v11,Mark 7:11,giving,Corban: a dedication used to withhold support owed to parents.
v12,Matthew 27:6,giving,Blood money cannot lawfully be put into the treasury.
v13,1 Corinthians 16:1,giving,Instructions for the collection for the saints.
v14,1 Corinthians 16:2,giving,"Set aside weekly, in proportion to earnings."
v15,2 Corinthians 9:7,giving,"Give as decided, not reluctantly or under compulsion."
v16,Romans 15:27,giving,Gentiles owe material help to those whose blessings they share.
v17,Acts 24:17,giving,Paul returns bringing alms to his nation.
b1,Matthew 18:24,debt,A servant owing ten thousand talents is brought to the reckoning.
b2,Matthew 18:27,debt,The lord releases him and forgives the debt.
b3,Matthew 18:34,debt,The unforgiving servant is handed over until he pays it all.
b4,Luke 7:41,debt,Two debtors owe a creditor very unequal sums.
b5,Luke 16:5,debt,The manager summons his master's debtors and reduces what they owe.
b6,Romans 13:8,debt,Owe no one anything except to love one another.
x1,Matthew 21:12,market,Jesus overturns the tables of the money changers in the temple.
x2,Mark 11:15,market,Mark's account of the same action.
x3,John 2:14,market,"John places the money changers early, with a whip of cords."
i22,Nehemiah 5:3,imperial,"Fields, vineyards and houses pledged for grain during the famine."
i23,Nehemiah 5:4,imperial,Money borrowed against fields and vineyards to pay the king's tax.
i24,Nehemiah 5:5,imperial,"Children forced into slavery, fields already in other hands."
u1,Exodus 22:25,interest,Lend to the poor without acting as a creditor or charging interest.
u2,Leviticus 25:36,interest,"No interest taken in advance, no profit made from a neighbour in need."
u3,Leviticus 25:37,interest,Money and food lent without interest or profit.
u4,Deuteronomy 23:19,interest,No interest on anything lent to another Israelite.
u5,Deuteronomy 23:20,interest,"Interest allowed to a foreigner, forbidden to a fellow Israelite."
u6,Psalm 15:5,interest,Lending without interest listed among the marks of the upright.
u7,Ezekiel 18:8,interest,The righteous take no advance and no accrued interest.
u8,Nehemiah 5:7,interest,Nehemiah charges the nobles with exacting interest from their own people.
u9,Nehemiah 5:10,interest,He calls for the taking of interest to stop.
u10,Nehemiah 5:11,interest,"Fields, orchards and houses restored that very day, with the interest."
r1,Deuteronomy 15:1,release,A remission of debts every seventh year.
r2,Deuteronomy 15:2,release,Every creditor remits the claim held against a neighbour.
r3,Deuteronomy 15:4,release,The promise that there will be no one in need.
r4,Deuteronomy 15:9,release,Warning against refusing a loan because the year of release is near.
r5,Leviticus 25:10,release,Liberty proclaimed; property and family returned in the fiftieth year.
r6,Leviticus 25:13,release,In the jubilee everyone returns to their own property.
r7,Luke 4:18,release,Good news to the poor and release to the captives.
r8,Luke 4:19,release,The year of the Lord's favour proclaimed.
r9,Matthew 6:9,release,"The Lord's Prayer, carrying the petition to forgive debts as debts are forgiven."
p1,Matthew 25:15,entrusted,"Talents handed to three slaves, each according to ability."
p2,Matthew 25:24,entrusted,"The third slave calls the master harsh, reaping where he did not sow."
p3,Matthew 25:27,entrusted,"The master says the money should have gone to bankers, to earn interest."
p4,Matthew 25:28,entrusted,The talent taken from the one who has least and given to the one with most.
p5,Luke 19:11,entrusted,Told because the kingdom was expected to appear immediately.
p6,Luke 19:13,entrusted,"Ten pounds given, with orders to trade until the master returns."
p7,Luke 19:22,entrusted,The master judged by his own words: taking what he did not deposit.
p8,Luke 19:23,entrusted,Why was the money not put in the bank to collect interest.
p9,Luke 19:27,entrusted,The king's enemies brought and slaughtered in his presence.
w1,Leviticus 19:13,wages,A labourer's wages must not be kept back overnight.
w2,Deuteronomy 24:14,wages,"Nothing withheld from poor labourers, Israelite or alien."
w3,Deuteronomy 24:15,wages,"Wages paid the same day, before sunset."
w4,James 5:4,wages,Withheld harvest wages cry out and are heard.
w5,Matthew 20:2,wages,A day's labour agreed at the usual daily wage.
w6,Matthew 20:13,wages,The householder insists the agreed wage wrongs no one.
w7,Luke 10:7,wages,The labourer deserves to be paid.
w8,1 Timothy 5:18,wages,The ox and the labourer cited together on payment due.
q1,Leviticus 19:9,gleaning,The edges of the field are not reaped.
q2,Leviticus 19:10,gleaning,The vineyard not stripped bare; leavings for the poor and the alien.
q3,Leviticus 23:22,gleaning,The same instruction repeated in the festival calendar.
q4,Deuteronomy 24:19,gleaning,"The forgotten sheaf left for the alien, the orphan and the widow."
q5,Deuteronomy 24:21,gleaning,"Grapes not gleaned twice, for the same three."
q6,Ruth 2:2,gleaning,Ruth goes out to glean behind the harvesters.
y1,Acts 2:44,purse,Believers hold all things in common.
y2,Acts 2:45,purse,Possessions sold and distributed as any had need.
y3,Acts 4:32,purse,No one claims private ownership of possessions.
y4,Acts 4:34,purse,"Lands and houses sold, the proceeds brought to the apostles."
y5,Acts 4:37,purse,Barnabas sells a field and lays the money at their feet.
y6,Acts 5:2,purse,Ananias keeps back part of the proceeds.
y7,Acts 5:4,purse,The property and its proceeds were his to dispose of freely.
y8,2 Corinthians 8:14,purse,"Present abundance meeting present need, for a fair balance."
z1,Leviticus 27:2,price,Vows made concerning the monetary equivalent of a person.
z2,Leviticus 27:3,price,Fifty shekels set as the equivalent for an adult male.
z3,Leviticus 27:8,price,Those too poor to pay are valued by the priest according to means.
